PunktA,istIdentMitPunktB,Distanz
10,116,0.6844097618067675
11,19,0.6485533638161487
17,251,0.8919323434409097
26,35,0.781663687332629
27,4,0.7721927448385318
36,142,0.6321795404590848
36,218,0.9768062175766525
37,345,0.671858847215001
39,123,0.9860367712646861
39,198,0.7755220975414262
40,220,0.6084776903434711
41,144,0.4461951957781712
41,384,0.969766514515636
44,139,0.5947932779186773
54,183,0.8762028323028425
57,74,0.595414994878177
58,251,0.20644003946381506
60,180,0.37765975286417675
61,61,0.5483934178127683
62,95,0.8871338907858927
66,122,0.5966633433278408
75,266,0.15909883394192567
85,41,0.9371219789041416
87,95,0.7797259944692224
88,348,0.5623029458138338
89,369,0.8912427711784163
91,353,0.4631354418304227
97,106,0.5239708183868672
101,35,0.6168034096113804
108,230,0.6844497682902894
108,276,0.7394772125917299
111,103,0.24503107207045638
114,269,0.2510571209992407
115,252,0.818119004681006
117,347,0.49679124378620587
120,282,0.9507874538690857
122,59,0.8959606623540718
122,240,0.9221299214828904
123,68,0.7363359836367608
125,336,0.9164981371933506
128,56,0.9333679907538851
131,49,0.6873929037997776
131,305,0.45735379634266937
134,87,0.622139326038198
135,59,0.9694053448281776
138,326,0.3170336798193707
139,39,0.8541691326340006
140,263,0.5256847392625669
140,327,0.8335767958465691
148,253,0.45390850247672726
152,200,0.3953897820576251
154,248,0.9355871444032178
155,289,0.5816866757613383
156,246,0.9254759221492397
157,144,0.7715994987085417
160,323,0.2751640963618918
161,314,0.6546614539441002
166,116,0.6506586802194124
167,219,0.9032398360878089
167,256,0.9135634589155903
172,139,0.9061566355418754
173,356,0.8914357504763166
174,27,0.8052938325732089
176,375,0.2571901397538913
178,81,0.9069978260105618
178,90,0.6754165802020171
185,306,0.7237671191701496
189,139,0.532398465675002
190,99,0.2550462775412696
194,294,0.9430398664697348
195,137,0.43607528335625767
196,211,0.915394126805353
198,231,0.980367335308317
